nome,sexo,data,hora,especie,xestimate,yestimate,id_poligon,classe,classe_bin,peso,micropaisa,mapa_bin2_
1351,2,2014-04-05,15:50,2,320388,7460548,160,veg,MATA,98,3,            22.36070
1351,2,2014-04-20,14:10,2,320319,7460491,165,pasto,N_MATA,98,3,           -20.00000
1351,2,2014-04-20,14:22,2,320278,7460579,32,res,N_MATA,98,3,           -20.00000
1351,2,2014-04-20,14:42,2,320312,7460539,160,veg,MATA,98,3,            22.36070
1351,2,2014-04-20,15:02,2,320345,7460546,160,veg,MATA,98,3,           -10.00000
1351,2,2014-04-20,15:12,2,320366,7460581,160,veg,MATA,98,3,            14.14210
1351,2,2014-04-20,15:22,2,320438,7460667,160,veg,MATA,98,3,            10.00000
1351,2,2014-04-20,15:32,2,320379,7460574,160,veg,MATA,98,3,            14.14210
1351,2,2014-04-20,15:42,2,320335,7460563,32,res,N_MATA,98,3,           -14.14210
1351,2,2014-04-20,16:12,2,320429,7460559,173,pasto,N_MATA,98,3,           -10.00000
1351,2,2014-04-29,07:18,2,320319,7460512,160,veg,MATA,98,3,            10.00000
1351,2,2014-06-20,14:52,2,320478,7460730,30,res,N_MATA,98,3,           -28.28430
1351,2,2014-06-21,07:30,2,320314,7460687,160,veg,MATA,98,3,            20.00000
1351,2,2014-06-21,07:45,2,320270,7460685,160,veg,MATA,98,3,            14.14210
1351,2,2014-06-21,08:40,2,320500,7460727,30,res,N_MATA,98,3,           -40.00000
1351,2,2014-06-21,09:10,2,320366,7460773,160,veg,MATA,98,3,            78.10250
1351,2,2014-06-21,09:40,2,320647,7460671,173,pasto,N_MATA,98,3,           -10.00000
1361,2,2014-04-05,07:10,1,320307,7460632,32,res,N_MATA,83,3,           -20.00000
1361,2,2014-04-05,07:20,1,320336,7460590,160,veg,MATA,83,3,            10.00000
1361,2,2014-04-05,07:30,1,320435,7460651,160,veg,MATA,83,3,            20.00000
1361,2,2014-04-05,07:40,1,321439,7461587,221,pasto,N_MATA,83,3,           -10.00000
1361,2,2014-04-05,08:30,1,320309,7460673,32,res,N_MATA,83,3,           -10.00000
1361,2,2014-04-05,09:25,1,320307,7460693,160,veg,MATA,83,3,            10.00000
1361,2,2014-04-05,09:35,1,320254,7460615,32,res,N_MATA,83,3,           -36.05550
1361,2,2014-04-05,09:57,1,320631,7460467,170,res,N_MATA,83,3,          -141.42100
1361,2,2014-04-05,10:07,1,320375,7460492,165,pasto,N_MATA,83,3,           -36.05550
1361,2,2014-04-05,10:17,1,320605,7460380,173,pasto,N_MATA,83,3,          -176.91800
1361,2,2014-04-05,10:27,1,320354,7460371,164,pasto,N_MATA,83,3,           -20.00000
1361,2,2014-04-05,13:26,1,320298,7460590,32,res,N_MATA,83,3,           -20.00000
1361,2,2014-04-05,13:36,1,320292,7460589,32,res,N_MATA,83,3,           -30.00000
1361,2,2014-04-05,13:56,1,320517,7460718,30,res,N_MATA,83,3,           -50.99020
1361,2,2014-04-05,14:06,1,320329,7460597,160,veg,MATA,83,3,            10.00000
1361,2,2014-04-05,14:16,1,320582,7460480,173,pasto,N_MATA,83,3,          -102.95600
1361,2,2014-04-05,14:26,1,320398,7460533,160,veg,MATA,83,3,            10.00000
1361,2,2014-04-05,14:46,1,320330,7460612,160,veg,MATA,83,3,            10.00000
1361,2,2014-04-05,14:13,1,320280,7460585,32,res,N_MATA,83,3,           -30.00000
1361,2,2014-04-05,15:23,1,320315,7460559,32,res,N_MATA,83,3,           -10.00000
1361,2,2014-04-05,15:33,1,320259,7460589,32,res,N_MATA,83,3,           -36.05550
1361,2,2014-04-05,15:53,1,320311,7460646,32,res,N_MATA,83,3,           -28.28430
1361,2,2014-04-05,16:03,1,320316,7460609,32,res,N_MATA,83,3,           -10.00000
